id,email,full_name,phone,aadhaar_no,pan_no,street_address,city,consent_purposes,password,created_at
usr_59d974723b0a,manish.pandey11@example.in,Manish Pandey,+917541563012,9444-1923-1859,CBIPL2237E,"920, Banjara Hills, Sector 25",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish%6874BCC1,2026-05-22T10:59:26.165Z
usr_63da043f20d3,alok.reddy12@example.in,Alok Reddy,+919407402886,7688-8004-1986,JKAPU1044Q,"135, FC Road, Sector 30",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Alok%3470C173,2026-05-09T10:59:26.165Z
usr_e3ca015ddec0,sneha.patel13@example.in,Sneha Patel,+918942669554,5822-3819-6715,THXPP6399D,"659, Koramangala, Sector 33",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha&14544ABE,2026-05-01T10:59:26.165Z
usr_612484f876c9,ritika.mishra14@example.in,Ritika Mishra,+918186254877,4187-6925-9746,VXLPJ9694T,"959, Sector 17, Sector 31",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika$495545A1,2026-07-03T10:59:26.165Z
usr_a821a7a4dbe0,vikram.bose15@example.in,Vikram Bose,+919602780903,7815-4759-5317,SDZPG3013E,"63, Koramangala, Sector 11",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Vikram$166946A6,2026-05-05T10:59:26.165Z
usr_913c68c3a3b7,aditya.saxena16@example.in,Aditya Saxena,+917803236186,3752-3389-4449,SFOPR3169Q,"788, Sector 17, Sector 26",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya%160802E8,2026-07-02T10:59:26.165Z
usr_5d763ac67a03,vikram.pandey17@example.in,Vikram Pandey,+919279582371,4285-1034-8663,YEIPH2983P,"128, M.G. Road, Sector 17",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Vikram#49912A60,2026-06-21T10:59:26.165Z
usr_ee1ad8822e30,kunal.menon18@example.in,Kunal Menon,+917938749400,5020-1709-1334,LVOPW7958K,"907, Sector 17, Sector 34",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kunal!9922C645,2026-05-03T10:59:26.165Z
usr_4ca42f29c3e6,varun.pillai19@example.in,Varun Pillai,+919379409486,5879-4499-1888,TPTPX5358F,"818, Anna Salai, Sector 6",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun#14841993,2026-08-31T10:59:26.165Z
usr_96a0abb6b662,anjali.iyer20@example.in,Anjali Iyer,+918740997518,7939-3092-3450,GBTPY6814X,"275, Connaught Place, Sector 38",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali@57003881,2026-06-15T10:59:26.165Z
usr_5ad3d81d7040,varun.chatterjee21@example.in,Varun Chatterjee,+918852073160,9079-3498-2915,TPYPY7639L,"374, FC Road, Sector 6",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun!88102C30,2026-06-17T10:59:26.165Z
usr_6d796c607791,rahul.gupta22@example.in,Rahul Gupta,+918925272517,8013-1752-6733,OYEPK4741G,"474, M.G. Road, Sector 13",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rahul$14345441,2026-06-30T10:59:26.165Z
usr_2d0ded833c26,karan.bose23@example.in,Karan Bose,+917176023775,2737-9586-1470,IFAPR5452O,"290, Banjara Hills, Sector 17",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Karan#5262D663,2026-08-30T10:59:26.165Z
usr_6389b5c8f068,nikhil.joshi24@example.in,Nikhil Joshi,+917583450872,9729-2495-5513,VBKPA4692M,"91, M.G. Road, Sector 3",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil#32127489,2026-08-03T10:59:26.165Z
usr_02ea3e7cbca4,manish.mishra25@example.in,Manish Mishra,+918812793442,6633-7065-2898,OMXPW2373A,"593, Brigade Road, Sector 3",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish#6771C571,2026-07-14T10:59:26.165Z
usr_7cae114162e8,shweta.chatterjee26@example.in,Shweta Chatterjee,+917926982565,2251-5344-2815,DZXPA1051X,"128, Koramangala, Sector 22",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta&3002A547,2026-09-01T10:59:26.165Z
usr_8465a58947e2,nikhil.mishra27@example.in,Nikhil Mishra,+919577680152,8536-4035-2624,CRTPR4462A,"893, SG Highway, Sector 28",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil%697638AD,2026-08-06T10:59:26.165Z
usr_e665fe03e7a8,sneha.sharma28@example.in,Sneha Sharma,+917404932411,4321-2343-6531,GGFPN9966T,"732, Connaught Place, Sector 15",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha%54142FD1,2026-04-08T10:59:26.165Z
usr_a4b50c8aa363,priya.chopra29@example.in,Priya Chopra,+919920936565,6652-1509-5163,CXHPO0195T,"649, Anna Salai, Sector 13",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya&90010F69,2026-08-14T10:59:26.165Z
usr_d67ee45dce03,arjun.kumar30@example.in,Arjun Kumar,+917293428705,3740-2258-5507,PVAPM8647E,"268, Brigade Road, Sector 6",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Arjun!27372615,2026-03-29T10:59:26.165Z
usr_ab8c5f0a23f8,nikhil.pillai31@example.in,Nikhil Pillai,+918661756205,4129-7382-6351,GBEPG5629W,"198, MI Road, Sector 45",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil&4253A3FB,2026-03-17T10:59:26.165Z
usr_df953e8d7bd9,ritika.menon32@example.in,Ritika Menon,+917791906863,6585-3593-6757,FCJPP4181D,"376, M.G. Road, Sector 28",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika@7528E531,2026-07-27T10:59:26.165Z
usr_ecaf5312444a,swati.chopra33@example.in,Swati Chopra,+919292058481,5433-3307-1966,BRXPX7490G,"923, Brigade Road, Sector 8",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Swati$75820072,2026-08-21T10:59:26.165Z
usr_e47cdea9567f,kavita.deshmukh34@example.in,Kavita Deshmukh,+917922662856,2909-8294-5444,FZQPS9278J,"569, Park Street, Sector 45",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kavita%50526C10,2026-06-16T10:59:26.165Z
usr_eec6f15c2f5c,sunita.agarwal35@example.in,Sunita Agarwal,+919339996567,9054-7674-8148,QRYPZ6927K,"189, Brigade Road, Sector 16",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sunita@24896747,2026-09-07T10:59:26.165Z
usr_805b1f221877,aarav.kapoor36@example.in,Aarav Kapoor,+917418552211,8506-4864-2758,OGMPX7535M,"899, Banjara Hills, Sector 22",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aarav#1616A68A,2026-08-28T10:59:26.165Z
usr_9334f125e706,kavita.trivedi37@example.in,Kavita Trivedi,+918479553279,2559-1892-1006,IUDPO5842F,"478, Anna Salai, Sector 45",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kavita@630314BD,2026-03-23T10:59:26.165Z
usr_70f5c9fb0f8f,karan.gupta38@example.in,Karan Gupta,+919674059920,3905-3225-7425,PUEPH8357B,"911, Anna Salai, Sector 39",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Karan!789578B7,2026-08-14T10:59:26.165Z
usr_d8dd5aa09705,ritu.bhattacharya39@example.in,Ritu Bhattacharya,+917445460860,8826-5155-9660,JSYPG8834W,"758, SG Highway, Sector 4",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritu&29326F0F,2026-08-01T10:59:26.165Z
usr_1de340cc29a3,rohan.deshmukh40@example.in,Rohan Deshmukh,+917739000349,5124-4028-6988,OFJPJ1840U,"217, SG Highway, Sector 38",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rohan%4667DF53,2026-03-14T10:59:26.165Z
usr_1cd1834a227b,gaurav.kumar41@example.in,Gaurav Kumar,+918476289265,2652-3873-1907,TZAPH0018C,"440, SG Highway, Sector 13",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Gaurav&3013C210,2026-03-16T10:59:26.165Z
usr_59b2e7734a04,abhishek.kumar42@example.in,Abhishek Kumar,+918188555332,9963-2215-4904,QSEPA1383X,"944, Park Street, Sector 21",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek%587111FF,2026-03-22T10:59:26.165Z
usr_d67c2db565a9,nikhil.menon43@example.in,Nikhil Menon,+919677336334,6041-3963-9865,FJNPP6901Y,"335, Connaught Place, Sector 43",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil#9520C879,2026-05-11T10:59:26.165Z
usr_14d5df1840d1,sunita.kulkarni44@example.in,Sunita Kulkarni,+917516891119,3349-5055-5187,GNIPS4259I,"537, M.G. Road, Sector 44",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sunita$44823D43,2026-07-10T10:59:26.165Z
usr_e577ae6af0b7,karan.mehta45@example.in,Karan Mehta,+919711166755,5046-7644-4840,AILPY9329C,"296, MI Road, Sector 20",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Karan$58937C8C,2026-04-15T10:59:26.165Z
usr_ae35e4fca433,siddharth.kulkarni46@example.in,Siddharth Kulkarni,+917230857115,3865-3242-4116,YZOPT4799D,"99, Park Street, Sector 25",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth@5477DEA5,2026-03-17T10:59:26.165Z
usr_3719ccabc500,anjali.verma47@example.in,Anjali Verma,+917225839104,4130-4340-8018,AFNPO9561R,"893, MI Road, Sector 7",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali!17126656,2026-09-05T10:59:26.166Z
usr_9cb8b358c2e6,neha.deshmukh48@example.in,Neha Deshmukh,+918236250097,2806-6683-6003,OPYPX4206D,"523, Sector 17, Sector 34",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Neha!5024ACD2,2026-08-18T10:59:26.166Z
usr_a78e5d50aabc,anjali.trivedi49@example.in,Anjali Trivedi,+917658011738,5527-9876-8536,NGOPV1155Q,"913, MI Road, Sector 31",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali!9033C38B,2026-07-17T10:59:26.166Z
usr_e53f40395054,dev.sharma50@example.in,Dev Sharma,+919574648888,3182-6517-9338,FWWPZ4962U,"735, Connaught Place, Sector 40",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Dev&5963F4A3,2026-09-02T10:59:26.166Z
usr_78499ab356c6,shweta.trivedi51@example.in,Shweta Trivedi,+918217569531,8734-8443-5725,VWUPX1608D,"527, Brigade Road, Sector 42",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta&5134FE4B,2026-06-08T10:59:26.166Z
usr_8df371864b46,kavita.sharma52@example.in,Kavita Sharma,+918638804161,9713-1293-8297,KGEPN1871S,"371, Anna Salai, Sector 23",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kavita$501455DB,2026-07-28T10:59:26.166Z
usr_1bb25c2e2ea9,dev.mukherjee53@example.in,Dev Mukherjee,+917414326815,2674-8635-4042,UYRPB9193N,"380, Sector 17, Sector 44",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Dev@887662B3,2026-04-16T10:59:26.166Z
usr_7d6f60a03c11,abhishek.reddy54@example.in,Abhishek Reddy,+917853349100,8819-7540-8854,UWFPH5436T,"333, Anna Salai, Sector 23",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek!12085555,2026-05-24T10:59:26.166Z
usr_fce5d2c018aa,deepika.nair55@example.in,Deepika Nair,+919498903696,3452-7549-5367,RNQPD6297Y,"647, Koramangala, Sector 29",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Deepika%6632ED76,2026-03-26T10:59:26.166Z
usr_b7a0874366e5,kunal.iyer56@example.in,Kunal Iyer,+918194294296,4044-9137-6301,POFPL8592X,"382, MI Road, Sector 9",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kunal&2268929A,2026-07-09T10:59:26.166Z
usr_e97725e452c6,amit.iyer57@example.in,Amit Iyer,+918269326836,4188-8582-4081,BDPPD2283N,"780, MI Road, Sector 37",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Amit%39300B05,2026-08-28T10:59:26.166Z
usr_43167172928c,siddharth.kulkarni58@example.in,Siddharth Kulkarni,+917353063717,3161-9718-2955,QCPPV8830D,"638, Koramangala, Sector 28",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth#4165B3E3,2026-04-24T10:59:26.166Z
usr_40b1af4128ed,varun.bhatia59@example.in,Varun Bhatia,+918996160377,5356-9255-7427,PVPPL4107W,"539, M.G. Road, Sector 24",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun%59217E36,2026-07-09T10:59:26.166Z
usr_57b755e66847,dev.chatterjee60@example.in,Dev Chatterjee,+918501559034,3612-4479-5099,PCMPD2785U,"677, MI Road, Sector 17",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Dev!55586DFA,2026-03-19T10:59:26.166Z
usr_b2d1ae0eae21,simran.bhatia61@example.in,Simran Bhatia,+917229640756,2937-4363-7135,DMAPJ0614C,"947, Sector 17, Sector 20",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Simran$39102E9B,2026-06-13T10:59:26.166Z
usr_0331541adb33,ananya.joshi62@example.in,Ananya Joshi,+917845733779,3728-1282-1541,NAMPV0439E,"811, Connaught Place, Sector 34",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ananya%7386CB21,2026-04-24T10:59:26.166Z
usr_af8c8cc4e335,nikhil.dubey63@example.in,Nikhil Dubey,+919903606446,8944-1195-4624,NABPQ7160C,"12, Anna Salai, Sector 43",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil!943644FE,2026-07-28T10:59:26.166Z
usr_4f6b595aa9c8,priya.gupta64@example.in,Priya Gupta,+919948319662,8358-2980-7259,HZFPS7766R,"600, Sector 17, Sector 17",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya@7172AE3C,2026-04-03T10:59:26.166Z
usr_1bbe34eb3815,arjun.iyer65@example.in,Arjun Iyer,+919929984629,4557-3971-7867,ABTPQ1916X,"977, Brigade Road, Sector 9",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Arjun&6875D57F,2026-06-11T10:59:26.166Z
usr_8dbd578f624f,anjali.chauhan66@example.in,Anjali Chauhan,+919289702995,7820-9434-6310,YBQPN6379O,"663, FC Road, Sector 3",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali@13931357,2026-04-22T10:59:26.166Z
usr_8b8bef51400b,divya.malhotra67@example.in,Divya Malhotra,+917639042336,4940-9887-5278,AZYPM5626S,"605, Koramangala, Sector 28",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Divya&6940CEBB,2026-07-15T10:59:26.166Z
usr_209c267b9075,gaurav.kumar68@example.in,Gaurav Kumar,+919620274851,2792-9438-5322,EQPPQ8511X,"707, FC Road, Sector 6",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Gaurav%98857C35,2026-04-03T10:59:26.166Z
usr_1ea29810f013,rahul.bhatia69@example.in,Rahul Bhatia,+918168145291,7472-8948-7470,WQOPX8164L,"84, SG Highway, Sector 14",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rahul%666579E0,2026-06-28T10:59:26.166Z
usr_86af080d5a67,nikhil.kulkarni70@example.in,Nikhil Kulkarni,+918228726703,7453-3942-6858,MHQPQ0523N,"747, M.G. Road, Sector 22",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil!4162A9E6,2026-05-02T10:59:26.166Z
usr_5b3200e6c549,kunal.agarwal71@example.in,Kunal Agarwal,+917841789912,3996-6965-6591,PKUPR3645N,"4, Sector 17, Sector 2",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kunal#2380E1DF,2026-08-21T10:59:26.166Z
usr_d32b5fe94e7f,sneha.trivedi72@example.in,Sneha Trivedi,+917580636781,5927-9122-3765,KXAPS5593H,"167, FC Road, Sector 22",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha&26636785,2026-09-04T10:59:26.166Z
usr_2e8f952d5dca,divya.menon73@example.in,Divya Menon,+917697313573,5674-1865-1879,WMAPQ7486Y,"326, Sector 17, Sector 36",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Divya$62086AEF,2026-07-18T10:59:26.166Z
usr_0d60e5e7cd00,anjali.bose74@example.in,Anjali Bose,+918962784065,2147-7911-2023,DLEPJ9648A,"935, Banjara Hills, Sector 38",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali%41961417,2026-09-05T10:59:26.166Z
usr_9b181a1b8210,ritu.iyer75@example.in,Ritu Iyer,+917178821019,3797-9282-6701,YWZPP0055Y,"392, M.G. Road, Sector 39",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritu#686054AA,2026-06-24T10:59:26.166Z
usr_105ddc3a30a3,nikhil.kapoor76@example.in,Nikhil Kapoor,+919737963277,2857-4099-5253,IHLPC6302K,"539, Banjara Hills, Sector 10",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil@1408820A,2026-05-23T10:59:26.166Z
usr_e3f54b77376a,meera.kulkarni77@example.in,Meera Kulkarni,+917467516898,7943-5147-8855,TERPC3401L,"336, Banjara Hills, Sector 26",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Meera@8904801D,2026-03-28T10:59:26.166Z
usr_297f0b3724b1,sanjay.agarwal78@example.in,Sanjay Agarwal,+919428703438,7790-6456-9353,HLDPE1201H,"654, SG Highway, Sector 17",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sanjay&77923405,2026-05-11T10:59:26.166Z
usr_acb6b06b255f,aarav.joshi79@example.in,Aarav Joshi,+919284198550,7785-8224-5128,WGDPK0582J,"824, SG Highway, Sector 23",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aarav&6636CB4B,2026-08-14T10:59:26.166Z
usr_806389048f35,manish.mishra80@example.in,Manish Mishra,+919937593555,2082-9979-4648,XXYPP0412E,"353, Park Street, Sector 17",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish@8128CDD1,2026-05-15T10:59:26.166Z
usr_dcc8349df29c,shweta.deshmukh81@example.in,Shweta Deshmukh,+917239239846,6321-6117-1298,QKMPM6801C,"868, MI Road, Sector 12",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta$21032035,2026-04-24T10:59:26.166Z
usr_0a74db18f258,tanvi.malhotra82@example.in,Tanvi Malhotra,+918939805621,6798-5553-4383,MTRPI6274S,"382, Park Street, Sector 39",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Tanvi&40736398,2026-05-26T10:59:26.166Z
usr_908548fbc76d,ritika.kumar83@example.in,Ritika Kumar,+918167138509,7756-4138-4293,TYJPM8049N,"365, SG Highway, Sector 24",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika$1646EB03,2026-08-23T10:59:26.166Z
usr_c9a6108ded2f,rohan.sharma84@example.in,Rohan Sharma,+918661754764,3969-1580-7970,JDRPK2667D,"457, M.G. Road, Sector 34",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rohan$29712EE8,2026-05-18T10:59:26.166Z
usr_6d918fc69536,dev.patel85@example.in,Dev Patel,+919596403209,6997-4120-6840,NEKPZ8689G,"680, Sector 17, Sector 11",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Dev$593691F7,2026-07-30T10:59:26.166Z
usr_69c573921d1a,karan.joshi86@example.in,Karan Joshi,+919903859777,8911-7180-2877,QXJPK4028H,"270, Koramangala, Sector 39",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Karan!695830BE,2026-04-03T10:59:26.166Z
usr_820e76299cde,manish.pandey87@example.in,Manish Pandey,+917514478179,3603-3972-8576,XFFPR5136Q,"62, Connaught Place, Sector 3",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish@8516EFE9,2026-05-19T10:59:26.166Z
usr_5035cfa5d7c6,tanvi.mishra88@example.in,Tanvi Mishra,+918562582007,2247-6301-5795,ZLIPV2394Q,"231, Anna Salai, Sector 40",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Tanvi$87641C18,2026-03-18T10:59:26.166Z
